Reference,Date,Value
GBP-LIBOR-6M,2000-01-01,0.06376
GBP-LIBOR-6M,2000-01-02,0.06376
GBP-LIBOR-6M,2000-01-03,0.06376
GBP-LIBOR-6M,2000-01-04,0.06376
GBP-LIBOR-6M,2000-01-05,0.06387
GBP-LIBOR-6M,2000-01-06,0.06399
GBP-LIBOR-6M,2000-01-07,0.06385
GBP-LIBOR-6M,2000-01-08,0.06385
GBP-LIBOR-6M,2000-01-09,0.06385
GBP-LIBOR-6M,2000-01-10,0.06387
GBP-LIBOR-6M,2000-01-11,0.06395
GBP-LIBOR-6M,2000-01-12,0.06401
GBP-LIBOR-6M,2000-01-13,0.06413
GBP-LIBOR-6M,2000-01-14,0.06367
GBP-LIBOR-6M,2000-01-15,0.06367
GBP-LIBOR-6M,2000-01-16,0.06367
GBP-LIBOR-6M,2000-01-17,0.06379
GBP-LIBOR-6M,2000-01-18,0.06381
GBP-LIBOR-6M,2000-01-19,0.06398
GBP-LIBOR-6M,2000-01-20,0.06413
GBP-LIBOR-6M,2000-01-21,0.06413
GBP-LIBOR-6M,2000-01-22,0.06413
GBP-LIBOR-6M,2000-01-23,0.06413
GBP-LIBOR-6M,2000-01-24,0.06411
GBP-LIBOR-6M,2000-01-25,0.06407
GBP-LIBOR-6M,2000-01-26,0.06390
GBP-LIBOR-6M,2000-01-27,0.06387
GBP-LIBOR-6M,2000-01-28,0.06394
GBP-LIBOR-6M,2000-01-29,0.06394
GBP-LIBOR-6M,2000-01-30,0.06394
GBP-LIBOR-6M,2000-01-31,0.06423
GBP-LIBOR-6M,2000-02-01,0.06414
GBP-LIBOR-6M,2000-02-02,0.06404
GBP-LIBOR-6M,2000-02-03,0.06388
GBP-LIBOR-6M,2000-02-04,0.06378
GBP-LIBOR-6M,2000-02-05,0.06378
GBP-LIBOR-6M,2000-02-06,0.06378
GBP-LIBOR-6M,2000-02-07,0.06399
GBP-LIBOR-6M,2000-02-08,0.06419
GBP-LIBOR-6M,2000-02-09,0.06418
GBP-LIBOR-6M,2000-02-10,0.06418
GBP-LIBOR-6M,2000-02-11,0.06416
GBP-LIBOR-6M,2000-02-12,0.06416
GBP-LIBOR-6M,2000-02-13,0.06416
GBP-LIBOR-6M,2000-02-14,0.06390
GBP-LIBOR-6M,2000-02-15,0.06393
GBP-LIBOR-6M,2000-02-16,0.06444
GBP-LIBOR-6M,2000-02-17,0.06444
GBP-LIBOR-6M,2000-02-18,0.06435
GBP-LIBOR-6M,2000-02-19,0.06435
GBP-LIBOR-6M,2000-02-20,0.06435
GBP-LIBOR-6M,2000-02-21,0.06432
GBP-LIBOR-6M,2000-02-22,0.06417
GBP-LIBOR-6M,2000-02-23,0.06418
GBP-LIBOR-6M,2000-02-24,0.06427
GBP-LIBOR-6M,2000-02-25,0.06428
GBP-LIBOR-6M,2000-02-26,0.06428
GBP-LIBOR-6M,2000-02-27,0.06428
GBP-LIBOR-6M,2000-02-28,0.06436
GBP-LIBOR-6M,2000-02-29,0.06436
GBP-LIBOR-6M,2000-03-01,0.06436
GBP-LIBOR-6M,2000-03-02,0.06438
GBP-LIBOR-6M,2000-03-03,0.06436
GBP-LIBOR-6M,2000-03-04,0.06436
GBP-LIBOR-6M,2000-03-05,0.06436
GBP-LIBOR-6M,2000-03-06,0.06430
GBP-LIBOR-6M,2000-03-07,0.06430
GBP-LIBOR-6M,2000-03-08,0.06426
GBP-LIBOR-6M,2000-03-09,0.06426
GBP-LIBOR-6M,2000-03-10,0.06405
GBP-LIBOR-6M,2000-03-11,0.06405
GBP-LIBOR-6M,2000-03-12,0.06405
GBP-LIBOR-6M,2000-03-13,0.06400
GBP-LIBOR-6M,2000-03-14,0.06393
GBP-LIBOR-6M,2000-03-15,0.06398
GBP-LIBOR-6M,2000-03-16,0.06401
GBP-LIBOR-6M,2000-03-17,0.06404
GBP-LIBOR-6M,2000-03-18,0.06404
GBP-LIBOR-6M,2000-03-19,0.06404
GBP-LIBOR-6M,2000-03-20,0.06402
GBP-LIBOR-6M,2000-03-21,0.06408
GBP-LIBOR-6M,2000-03-22,0.06406
GBP-LIBOR-6M,2000-03-23,0.06400
GBP-LIBOR-6M,2000-03-24,0.06404
GBP-LIBOR-6M,2000-03-25,0.06404
GBP-LIBOR-6M,2000-03-26,0.06404
GBP-LIBOR-6M,2000-03-27,0.06431
GBP-LIBOR-6M,2000-03-28,0.06439
GBP-LIBOR-6M,2000-03-29,0.06439
GBP-LIBOR-6M,2000-03-30,0.06462
GBP-LIBOR-6M,2000-03-31,0.06468
GBP-LIBOR-6M,2000-04-01,0.06468
GBP-LIBOR-6M,2000-04-02,0.06468
GBP-LIBOR-6M,2000-04-03,0.06476
GBP-LIBOR-6M,2000-04-04,0.06488
GBP-LIBOR-6M,2000-04-05,0.06500
GBP-LIBOR-6M,2000-04-06,0.06500
GBP-LIBOR-6M,2000-04-07,0.06468
GBP-LIBOR-6M,2000-04-08,0.06468
GBP-LIBOR-6M,2000-04-09,0.06468
GBP-LIBOR-6M,2000-04-10,0.06451
GBP-LIBOR-6M,2000-04-11,0.06444
GBP-LIBOR-6M,2000-04-12,0.06449
GBP-LIBOR-6M,2000-04-13,0.06440
GBP-LIBOR-6M,2000-04-14,0.06437
GBP-LIBOR-6M,2000-04-15,0.06437
GBP-LIBOR-6M,2000-04-16,0.06437
GBP-LIBOR-6M,2000-04-17,0.06419
GBP-LIBOR-6M,2000-04-18,0.06438
GBP-LIBOR-6M,2000-04-19,0.06440
GBP-LIBOR-6M,2000-04-20,0.06447
GBP-LIBOR-6M,2000-04-21,0.06447
GBP-LIBOR-6M,2000-04-22,0.06447
GBP-LIBOR-6M,2000-04-23,0.06447
GBP-LIBOR-6M,2000-04-24,0.06447
GBP-LIBOR-6M,2000-04-25,0.06493
GBP-LIBOR-6M,2000-04-26,0.06510
GBP-LIBOR-6M,2000-04-27,0.06498
GBP-LIBOR-6M,2000-04-28,0.06480
GBP-LIBOR-6M,2000-04-29,0.06480
GBP-LIBOR-6M,2000-04-30,0.06480
GBP-LIBOR-6M,2000-05-01,0.06480
GBP-LIBOR-6M,2000-05-02,0.06481
GBP-LIBOR-6M,2000-05-03,0.06483
GBP-LIBOR-6M,2000-05-04,0.06496
GBP-LIBOR-6M,2000-05-05,0.06472
GBP-LIBOR-6M,2000-05-06,0.06472
GBP-LIBOR-6M,2000-05-07,0.06472
GBP-LIBOR-6M,2000-05-08,0.06491
GBP-LIBOR-6M,2000-05-09,0.06484
GBP-LIBOR-6M,2000-05-10,0.06479
GBP-LIBOR-6M,2000-05-11,0.06482
GBP-LIBOR-6M,2000-05-12,0.06505
GBP-LIBOR-6M,2000-05-13,0.06505
GBP-LIBOR-6M,2000-05-14,0.06505
GBP-LIBOR-6M,2000-05-15,0.06523
GBP-LIBOR-6M,2000-05-16,0.06525
GBP-LIBOR-6M,2000-05-17,0.06514
GBP-LIBOR-6M,2000-05-18,0.06434
GBP-LIBOR-6M,2000-05-19,0.06423
GBP-LIBOR-6M,2000-05-20,0.06423
GBP-LIBOR-6M,2000-05-21,0.06423
GBP-LIBOR-6M,2000-05-22,0.06417
GBP-LIBOR-6M,2000-05-23,0.06418
GBP-LIBOR-6M,2000-05-24,0.06419
GBP-LIBOR-6M,2000-05-25,0.06415
GBP-LIBOR-6M,2000-05-26,0.06417
